"Path","Root","Extension","SizeBytes","IsText","Lines"
"backend\config\test_db.php","backend",".php","650","True","14"
"backend\config\timezone.php","backend",".php","6486","True","204"
"backend\controllers\DriverController.php","backend",".php","189","True","11"
"backend\controllers\LocationController.php","backend",".php","192","True","11"
"backend\controllers\PaymentController.php","backend",".php","185","True","11"
"backend\controllers\TripController.php","backend",".php","180","True","11"
"backend\controllers\UserController.php","backend",".php","182","True","11"
"backend\core\Auth.php","backend",".php","2034","True","61"
"backend\core\Cache.php","backend",".php","3079","True","102"
"backend\core\RateLimiter.php","backend",".php","711","True","28"
"backend\core\Request.php","backend",".php","551","True","20"
"backend\core\Response.php","backend",".php","1059","True","35"
"backend\core\Router.php","backend",".php","573","True","22"
"backend\core\Validator.php","backend",".php","955","True","30"
"backend\docs\architecture.md","backend",".md","7587","True","163"
"backend\docs\README.md","backend",".md","6174","True","140"
"backend\docs\TESTING_ENDPOINTS.md","backend",".md","6596","True","225"
"backend\docs\admin\DEBUG_ADMIN.md","backend",".md","3212","True","76"
"backend\docs\auth\README_USER_MICROSERVICE.md","backend",".md","7280","True","293"
"backend\docs\conductor\README_CONDUCTOR_MICROSERVICE.md","backend",".md","11965","True","435"
"backend\docs\migrations\CHECKLIST_PRODUCCION.md","backend",".md","7656","True","228"
"backend\docs\migrations\GUIA_RAPIDA.md","backend",".md","2909","True","77"
"backend\docs\migrations\INDEX.md","backend",".md","8633","True","216"
"backend\docs\migrations\INSTALACION_006.md","backend",".md","3381","True","130"
"backend\docs\migrations\LEER_PRIMERO.md","backend",".md","4392","True","122"
"backend\docs\migrations\LIMPIEZA_TIPOS_VEHICULOS.md","backend",".md","3902","True","90"
"backend\docs\migrations\MIGRACION_004_README.md","backend",".md","2167","True","51"
"backend\docs\migrations\README.md","backend",".md","1171","True","31"
"backend\docs\migrations\RESUMEN_CAMBIOS.md","backend",".md","7382","True","202"
"backend\driver\tracking\update.php","backend",".php","25321","True","559"
"backend\empresa\profile.php","backend",".php","2498","True","69"
"backend\empresa\register.php","backend",".php","3121","True","86"
"backend\empresa\settings.php","backend",".php","2516","True","74"
"backend\empresa\controllers\EmpresaController.php","backend",".php","7119","True","214"
"backend\empresa\repositories\EmpresaRepository.php","backend",".php","19174","True","494"
"backend\empresa\services\EmpresaService.php","backend",".php","25700","True","597"
"backend\empresa\validators\EmpresaValidator.php","backend",".php","4194","True","129"
"backend\legal\accept.php","backend",".php","2117","True","60"
"backend\legal\current_version.php","backend",".php","1178","True","40"
"backend\location_sharing\create_share.php","backend",".php","3957","True","94"
"backend\location_sharing\get_location.php","backend",".php","4427","True","95"
"backend\location_sharing\stop_share.php","backend",".php","1065","True","33"
"backend\location_sharing\test_create.php","backend",".php","477","True","13"
"backend\location_sharing\update_location.php","backend",".php","1894","True","52"
"backend\middleware\AuthMiddleware.php","backend",".php","450","True","17"
"backend\middleware\LegalMiddleware.php","backend",".php","4548","True","108"
"backend\middleware\RateLimitMiddleware.php","backend",".php","527","True","17"
"backend\middleware\SecurityMiddleware.php","backend",".php","14436","True","346"
"backend\migrations\001_create_admin_tables.sql","backend",".sql","5796","True","99"
"backend\migrations\001_create_conductores_confianza_tables.sql","backend",".sql","6508","True","128"
"backend\migrations\002_conductor_fields.sql","backend",".sql","1625","True","25"
"backend\migrations\003_fix_usuarios_columns.sql","backend",".sql","5464","True","121"
"backend\migrations\003_fix_usuarios_columns_simple.sql","backend",".sql","692","True","11"
"backend\migrations\004_fix_fecha_creacion_columns.sql","backend",".sql","1112","True","20"
"backend\migrations\005_add_vehicle_registration_fields.sql","backend",".sql","1202","True","17"
"backend\migrations\006_add_documentos_conductor.sql","backend",".sql","1893","True","25"
"backend\migrations\007_create_configuracion_precios.sql","backend",".sql","7860","True","169"
"backend\migrations\007_create_configuracion_precios_moto_only.sql","backend",".sql","6437","True","124"
"backend\migrations\008_device_security.sql","backend",".sql","1810","True","29"
"backend\migrations\009_create_paradas_solicitud.sql","backend",".sql","1032","True","20"
"backend\migrations\010_fix_postgres_sequences.sql","backend",".sql","4959","True","71"
"backend\migrations\010_verification_tables.sql","backend",".sql","1028","True","21"
"backend\migrations\011_add_conductor_llego_column.sql","backend",".sql","553","True","10"
"backend\migrations\012_update_vehicle_types.sql","backend",".sql","7477","True","198"
"backend\migrations\013_create_mensajes_chat.sql","backend",".sql","2513","True","43"
"backend\migrations\015_rating_and_payment_tables.sql","backend",".sql","3695","True","70"
"backend\migrations\016_payment_dispute_system.sql","backend",".sql","4142","True","95"
"backend\migrations\017_fix_payment_system.sql","backend",".sql","3490","True","66"
"backend\migrations\018_create_empresas_transporte.sql","backend",".sql","4108","True","99"
"backend\migrations\019_add_vehicle_photo.sql","backend",".sql","290","True","6"
"backend\migrations\020_create_colors_table.sql","backend",".sql","765","True","25"
"backend\migrations\021_add_document_file_types.sql","backend",".sql","3089","True","49"
"backend\migrations\021_add_empresa_role.sql","backend",".sql","451","True","10"
"backend\migrations\022_add_empresa_to_tipo_usuario_pg.sql","backend",".sql","779","True","13"
"backend\migrations\022_add_google_auth.sql","backend",".sql","2131","True","49"
"backend\migrations\023_company_pricing.sql","backend",".sql","1450","True","32"
"backend\migrations\024_set_commissions_zero.sql","backend",".sql","662","True","15"
"backend\migrations\025_company_commission_system.sql","backend",".sql","2665","True","55"
"backend\migrations\026_add_routing_to_documents.sql","backend",".sql","864","True","11"
"backend\migrations\026_biometric_templates.sql","backend",".sql","1547","True","25"
"backend\migrations\027_create_notifications_system.sql","backend",".sql","10433","True","237"
"backend\migrations\028_require_empresa_conductor.sql","backend",".sql","9744","True","230"
"backend\migrations\029_normalize_empresas_transporte.sql","backend",".sql","12065","True","299"
"backend\migrations\030_empresa_tipos_vehiculo.sql","backend",".sql","9583","True","231"
"backend\migrations\031_add_taxi_carro_types.sql","backend",".sql","2386","True","45"
"backend\migrations\031_support_system.sql","backend",".sql","7559","True","165"
"backend\migrations\032_add_taxi_vehicle.sql","backend",".sql","2244","True","56"
"backend\migrations\033_add_vehiculo_empresa_to_solicitudes.sql","backend",".sql","5845","True","161"
"backend\migrations\034_viaje_tracking_realtime.sql","backend",".sql","16244","True","380"
"backend\migrations\035_add_price_breakdown_columns.sql","backend",".sql","5877","True","72"
"backend\migrations\036_create_pagos_comision.sql","backend",".sql","965","True","21"
"backend\migrations\037b_functions.sql","backend",".sql","1650","True","50"
"backend\migrations\037_concurrency_and_latency_system.sql","backend",".sql","4612","True","98"
"backend\migrations\038_rename_motocarro_to_mototaxi.sql","backend",".sql","2324","True","51"
"backend\migrations\039_debt_payment_transfer_flow.sql","backend",".sql","3696","True","61"
"backend\migrations\040_location_sharing.sql","backend",".sql","1491","True","32"
"backend\migrations\041_tracking_ingestion_optimization.sql","backend",".sql","1945","True","32"
"backend\migrations\042_admin_notification_types.sql","backend",".sql","1041","True","29"
"backend\migrations\043_set_app_name_viax.sql","backend",".sql","506","True","18"
"backend\migrations\044_empresa_admin_payment_system.sql","backend",".sql","6055","True","116"
"backend\migrations\045_admin_emisor_fiscal.sql","backend",".sql","2070","True","58"
"backend\migrations\046_canonical_trip_metrics.sql","backend",".sql","1693","True","29"
"backend\migrations\047_create_trip_tracking_points_phase2.sql","backend",".sql","960","True","19"
"backend\migrations\048_tracking_stream_upgrade.sql","backend",".sql","1919","True","45"
"backend\migrations\049_ride_engine_indexes_and_archive.sql","backend",".sql","1443","True","28"
"backend\migrations\050_create_recent_searches.sql","backend",".sql","673","True","15"
"backend\migrations\051_performance_indexes.sql","backend",".sql","404","True","8"
"backend\migrations\052_create_drivers_live_location.sql","backend",".sql","645","True","15"
"backend\migrations\053_account_deletion_system.sql","backend",".sql","2795","True","83"
"backend\migrations\054_support_role_and_ticket_logs.sql","backend",".sql","1351","True","25"
"backend\migrations\055_legal_acceptance_system.sql","backend",".sql","1772","True","45"
"backend\migrations\055_security_events_table.sql","backend",".sql","778","True","15"
"backend\migrations\056_blocked_users_system.sql","backend",".sql","901","True","18"
"backend\migrations\add_razon_rechazo_column.sql","backend",".sql","311","True","5"
"backend\migrations\ejecutar_004_simple.sql","backend",".sql","953","True","23"
"backend\migrations\run_migrations.php","backend",".php","234","True","9"
"backend\migrations\run_migration_003.sql","backend",".sql","825","True","19"
"backend\migrations\run_migration_004.sql","backend",".sql","1162","True","27"
"backend\notifications\create_notification.php","backend",".php","4857","True","140"
"backend\notifications\delete_notification.php","backend",".php","4885","True","135"
"backend\notifications\get_notifications.php","backend",".php","4796","True","144"
"backend\notifications\get_settings.php","backend",".php","2933","True","85"
"backend\notifications\get_unread_count.php","backend",".php","1912","True","62"
"backend\notifications\mark_as_read.php","backend",".php","4837","True","136"
"backend\notifications\register_push_token.php","backend",".php","4126","True","105"
"backend\notifications\unregister_push_token.php","backend",".php","2584","True","71"
"backend\notifications\update_settings.php","backend",".php","5879","True","162"
"backend\payment\check_dispute_status.php","backend",".php","4053","True","119"
"backend\payment\report_payment_status.php","backend",".php","10331","True","267"
"backend\payment\resolve_dispute.php","backend",".php","3005","True","101"
"backend\pricing\calculate_quote.php","backend",".php","8974","True","257"
"backend\pricing\get_config.php","backend",".php","3904","True","107"
"backend\python_services\install_dependencies.bat","backend",".bat","945","True","27"
"backend\python_services\requirements.txt","backend",".txt","176","True","6"
"backend\python_services\verify_face.py","backend",".py","5086","False","0"
"backend\rating\confirm_cash_payment.php","backend",".php","4595","True","130"
"backend\rating\get_ratings.php","backend",".php","4929","True","131"
"backend\rating\get_trip_summary.php","backend",".php","6762","True","172"
"backend\rating\submit_rating.php","backend",".php","9127","True","236"
"backend\repositories\DriverRepository.php","backend",".php","571","True","20"
"backend\repositories\LocationRepository.php","backend",".php","538","True","18"
"backend\repositories\TripRepository.php","backend",".php","2632","True","70"
"backend\repositories\UserRepository.php","backend",".php","440","True","17"
"backend\routes\api.php","backend",".php","811","True","20"
"backend\scripts\archive_tracking_points.php","backend",".php","1367","True","36"
"backend\scripts\backfill_canonical_trip_metrics.php","backend",".php","5836","True","108"
"backend\scripts\check_legacy_code.php","backend",".php","1958","True","66"
"backend\scripts\check_pending_migrations.php","backend",".php","1507","True","51"
"backend\scripts\migrate_legal_users.php","backend",".php","2351","True","61"
"backend\scripts\restore_configuracion_precios_temp.php","backend",".php","1350","True","32"
"backend\scripts\run_migrations.php","backend",".php","4578","True","137"
"backend\scripts\safe_push_backend.ps1","backend",".ps1","1834","True","55"
"backend\scripts\test_legal_system.php","backend",".php","1762","True","42"
"backend\scripts\trip_tracking_queue_worker.php","backend",".php","4034","True","116"
"backend\scripts\update_server.sh","backend",".sh","3490","True","80"
"backend\services\DriverService.php","backend",".php","292","True","14"
"backend\services\driver_service.php","backend",".php","20695","True","481"
"backend\services\EmailRateLimiter.php","backend",".php","5744","True","115"
"backend\services\EmailService.php","backend",".php","15840","True","262"
"backend\services\eta_service.php","backend",".php","5349","True","119"
"backend\services\LocationService.php","backend",".php","1013","True","30"
"backend\services\MailProviderInterface.php","backend",".php","259","True","11"
"backend\services\MatchingService.php","backend",".php","1533","True","41"
"backend\services\matching_service.php","backend",".php","13125","True","275"
"backend\services\pickup_eta_service.php","backend",".php","7942","True","187"
"backend\services\places_search_service.php","backend",".php","11180","True","272"
"backend\services\PricingService.php","backend",".php","409","True","16"
"backend\services\pricing_service.php","backend",".php","2247","True","52"
"backend\services\roads_snap_service.php","backend",".php","10377","True","267"
"backend\services\SecurityLogger.php","backend",".php","1277","True","35"
